#,Name,Value,Description,Package,Manufacture,MPN,Qty,Ref,SMT,THT,,,,,,,,,,,,,,,,
1,MLCC,10uF/50V,10uF / 20% / 50V / X5R,C1206,Samsung Electro-Mechanics,CL31A106KBHNNNE,1,C1,1,,,,,,,,,,,,,,,,,
2,MLCC,10uF/10V,10uF / 20% / 10V / X5R,C0805,Samsung Electro-Mechanics,CL21A106KOQNNNG,1,C2,1,,,,,,,,,,,,,,,,,
3,MLCC,100nF/50V,100nF / 20% / 50V / X5R,C0603,Walsin Tech Corp,0603B104K500CT,2,"C3, C4",2,,,,,,,,,,,,,,,,,
4,Zener Diode,5.1V,350mW 5.1V,SOD-123F,"Jiangsu Changjing Electronics Technology Co., Ltd.",BZT52C5V1,1,D1,1,,,,,,,,,,,,,,,,,
5,LED,Green,general LED green,LED0603,Everlight Elec,19-213/GHC-YR1S2M/3T,1,D2,1,,,,,,,,,,,,,,,,,
6,DC Barrel Jack,DC Power receptacle,5A 2.0mm 6.2mm,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,XKB Connectivity,DC-005-5A-2.0,1,J1,,1,,,,,,,,,,,,,,,,
7,RJ45 Jack with Magnetics,HR871181A,,HR871181A,Hanrun,HR871181A,1,J2,,1,,,,,,,,,,,,,,,,
8,3.81mm connector,2 Pins,3.81mm Pluggable System Terminal Block,"Push-Pull,P=3.81mm",Ningbo Kangnex Elec,WJ15EDGRC-3.81-2P,8,"J3, J4, J5, J6, J7, J8, J9, J10",,8,,,,,,,,,,,,,,,,
9,3.81mm connector,4 Pins,3.81mm Pluggable System Terminal Block,"Push-Pull,P=3.81mm",Ningbo Kangnex Elec,WJ15EDGRC-3.81-4P,1,J11,,1,,,,,,,,,,,,,,,,
10,Female Headers,,Straight 1x24P 8.5mm Top 24 Square Holes,P=2.54mm,XKB Connectivity,X6511FV-24-C85D32,2,"J12, J13",,2,,,,,,,,,,,,,,,,
11,Female Headers,,Straight 2x3P 4.3mm Top 6 Square Holes,P=2mm,HCTL,PM200-2-03-Z-4.3,1,J14,,1,,,,,,,,,,,,,,,,
12,P-MOSFET,AO3401A,30V 4.4A ,SOT-23,Yangzhou Yangjie Elec Tech,YJL3401A,1,Q1,1,,,,,,,,,,,,,,,,,
13,Resistor,10k,5% 1/10W,R0603,YAGEO,RC0603JR-0710KL,2,"R1, R11",2,,,,,,,,,,,,,,,,,
14,Resistor,220,5% 1/10W,R0603,YAGEO,RC0603JR-07220RL,1,R2,1,,,,,,,,,,,,,,,,,
15,Resistor,470,5% 1/10W,R0603,YAGEO,RC0603JR-07470RL,8,"R3, R4, R5, R6, R7, R8, R9, R10",8,,,,,,,,,,,,,,,,,
16,DIP Switches,"8P, Side Sw",SPST Red Piano 8 keys DIP Switches,DIP16,Cixi Tonver Elec,VPG/S-08HG-R,1,SW1,,1,,,,,,,,,,,,,,,,
17,Power Modules,5V 500mA,6.5V~36V input DC-DC,,MORNSUN Guangzhou S& T,K7805-500R3,1,U1,,1,,,,,,,,,,,,,,,,
18,"Octal BUS Transceivers, 3-State outputs",74HC245,Buffer/Driver/Transceiver,TSSOP-20,Wuxi I-core Elec,AiP74HCT245TA20.TR,1,U3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SUM:,35,,19,16,,,,,,,,,,,,,,,,
